schoolKey,schoolId,schoolName,sourceZone,schoolDataMonth,sensitiveAreaIds,sensitiveAreaTypes,sensitiveAreaNames,sensitiveAreaCount,longitude,latitude,analysisPredicate,analysisRole
NLSC-121-2646,2646,臺中市神岡區岸裡國民小學,121,201712,G0005,地下水補注地質敏感區,臺中盆地,1,120.6972391,24.2494214,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2614,2614,臺中市神岡區社口國民小學,121,201712,G0005,地下水補注地質敏感區,臺中盆地,1,120.6851470,24.2453620,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2735,2735,臺中市神岡區神岡國民小學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6598969,24.2581771,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2775,2775,臺中市神岡區豐洲國民小學,121,201712,G0005,地下水補注地質敏感區,臺中盆地,1,120.7039436,24.2627774,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1246,1246,臺中市私立僑泰高級中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6676673,24.1114744,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1299,1299,臺中市私立大明高級中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6861146,24.1164896,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-875,875,臺中市私立大明高級中學潭子應用藝術校區,121,202601,G0005,地下水補注地質敏感區,臺中盆地,1,120.7207515,24.2053371,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-857,857,臺中市私立宜寧高中,121,202601,G0005,地下水補注地質敏感區,臺中盆地,1,120.6040321,24.1953789,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1519,1519,臺中市私立嶺東高級中學,121,201509,G0005,地下水補注地質敏感區,臺中盆地,1,120.6106724,24.1372144,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-852,852,臺中市私立常春藤高級中學,121,202601,G0005,地下水補注地質敏感區,臺中盆地,1,120.7165978,24.1953195,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2508,2508,臺中市私立弘文高級中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.7040958,24.2261281,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2475,2475,臺中市私立惠明盲校,121,201712,G0005,地下水補注地質敏感區,臺中盆地,1,120.6612422,24.2201304,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2142,2142,臺中市私立慎齋小學,121,201308,G0005,地下水補注地質敏感區,臺中盆地,1,120.6771099,24.1757638,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1902,1902,臺中市私立新民高級中學,121,201509,G0005,地下水補注地質敏感區,臺中盆地,1,120.6865774,24.1579572,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1061,1061,臺中市私立明台高級中學,121,202401,F0001,活動斷層地質敏感區,車籠埔斷層,1,120.7036864,24.0608801,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1338,1338,臺中市私立明德高級中學,121,201910,G0005,地下水補注地質敏感區,臺中盆地,1,120.6829648,24.1203084,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2167,2167,臺中市私立明道普霖斯頓國民小學,121,202508,G0005,地下水補注地質敏感區,臺中盆地,1,120.6844232,24.1771133,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
