facility_id,facility_name,facility_type,facility_source,source_record_id,source_date,admin_area,medical_marktype,address,agency,hotspot_name,osm_amenity,osm_office,matched_hazard_groups,matched_hazard_details,hazard_group_count,flood_point_count_300m,screening_priority,analysis_predicate,analysis_role,longitude,latitude
NLSC-MED-G0000002956,宜蘭縣南澳鄉金洋村衛生室,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000002956,2026-09-25,宜蘭縣,9930102,宜蘭縣南澳鄉金洋路9-1號,,,,,土石流影響範圍、地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 149.7, ""intersects"": false}, {""group"": ""土石流影響範圍"", ""source_id"": ""176526"", ""distance_m"": 194.2, ""intersects"": false}]",2,0,複合災害暴露（優先查核）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.749867,24.426212000000003
NLSC-MED-G0000003877,宜蘭縣南澳鄉澳花村衛生室,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000003877,2026-09-25,宜蘭縣,9930102,宜蘭縣南澳鄉中央路48號,,,,,土石流影響範圍、地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 40.2, ""intersects"": false}, {""group"": ""土石流影響範圍"", ""source_id"": ""176526"", ""distance_m"": 0.0, ""intersects"": true}]",2,0,複合災害暴露（優先查核）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.73946199999999,24.329909999999998
NLSC-MED-G0000003935,醫療財團法人羅許基金會羅東博愛醫院門診中心,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000003935,2026-09-25,宜蘭縣,9930101,宜蘭縣羅東鎮南昌街83號,,,,,近5年歷史淹水災點,"[{""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 202.1, ""match_count"": 1}]",1,1,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.771047,24.671890999999995
NLSC-MED-G0000004136,臺北榮民總醫院蘇澳分院,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000004136,2026-09-25,宜蘭縣,9930101,宜蘭縣蘇澳鎮中山路一段439號,,,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 218.4, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.83957600000001,24.596218999999994
NLSC-MED-G0000004340,羅東聖母醫院山地巡迴醫療南澳復健站,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000004340,2026-09-25,宜蘭縣,9930101,宜蘭縣南澳鄉蘇花路2段317號,,,,,近5年歷史淹水災點,"[{""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 139.6, ""match_count"": 1}]",1,1,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.80161200000002,24.465048999999997
NLSC-MED-G0000004444,宜蘭縣南澳鄉金岳村衛生室,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000004444,2026-09-25,宜蘭縣,9930102,宜蘭縣南澳鄉金岳路8號,,,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 180.9, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.77646999999999,24.471238000000003
NLSC-MED-G0000004687,宜蘭縣大同鄉寒溪村衛生室,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000004687,2026-09-25,宜蘭縣,9930102,宜蘭縣大同鄉寒溪村(巷)6號,,,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.686508,24.609381999999997
NLSC-MED-G0000004688,宜蘭縣大同鄉英士村衛生室,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000004688,2026-09-25,宜蘭縣,9930102,宜蘭縣大同鄉英士村梵梵段72號之一,,,,,土石流影響範圍、地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 268.4, ""intersects"": false}, {""group"": ""土石流影響範圍"", ""source_id"": ""176526"", ""distance_m"": 0.0, ""intersects"": true}]",2,0,複合災害暴露（優先查核）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.52614,24.613440999999998
NLSC-MED-G0000004689,宜蘭縣大同鄉復興村衛生室,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000004689,2026-09-25,宜蘭縣,9930102,宜蘭縣大同鄉泰雅一路35巷1號,,,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}, {""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 133.8, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.606932,24.631584000000004
NLSC-MED-G0000004691,宜蘭縣大同鄉松羅村衛生室,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000004691,2026-09-25,宜蘭縣,9930102,宜蘭縣大同鄉松羅村松羅巷21號,,,,,土石流影響範圍、地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}, {""group"": ""土石流影響範圍"", ""source_id"": ""176526"", ""distance_m"": 0.0, ""intersects"": true}]",2,0,複合災害暴露（優先查核）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.578528,24.656531999999995
ITAIWAN-11896,三星鄉公所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11896,2025-11-06,宜蘭縣,,266宜蘭縣三星鄉成功路67號,宜蘭縣政府,三星鄉公所-1F右,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.65403599999999,24.665479999999995
ITAIWAN-11617,大同鄉公所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11617,2025-11-06,宜蘭縣,,267宜蘭縣大同鄉朝陽38號,宜蘭縣政府,大同鄉公所-1F,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 35.0, ""intersects"": false}, {""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 243.9, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.609082,24.677409
