rank,town,village,village_id,data_period,elderly_econ_est,vulnerable_elderly_est,vulnerable_rate_pct,elderly_transit_est,bus_gap_elderly_est,bus_gap_rate_pct,joint_pressure_raw,priority_score,priority_band,data_quality,economic_suppressed_cells,vulnerable_suppressed_cells,transit_suppressed_cells,bus_gap_suppressed_cells
49,五結鄉,五結村,10002090-008,113Y,779.0,6.0,0.7702,781.0,19.0,2.4328,0.0137,20.0091,B 高優先,較高,0,0,0,0
50,冬山鄉,群英村,10002080-017,113Y,1212.0,4.0,0.33,1214.0,116.0,9.5552,0.0178,19.947,B 高優先,較高,0,0,0,0
51,員山鄉,永和村,10002070-009,113Y,377.0,4.0,1.061,378.0,11.0,2.9101,0.0176,19.8485,B 高優先,較高,0,0,0,0
52,礁溪鄉,大忠村,10002050-004,113Y,560.0,8.0,1.4286,563.0,3.0,0.5329,0.0087,19.0397,B 高優先,較高,0,0,0,0
53,礁溪鄉,玉石村,10002050-002,113Y,500.0,4.0,0.8,502.0,15.0,2.988,0.0155,18.7344,B 高優先,較高,0,0,0,0
54,五結鄉,鎮安村,10002090-003,113Y,577.0,3.0,0.5199,577.0,33.0,5.7192,0.0172,18.2098,B 高優先,較高,0,0,0,0
55,蘇澳鎮,港邊里,10002030-005,113Y,322.0,5.0,1.5528,326.0,3.0,0.9202,0.012,18.0807,B 高優先,較高,0,0,0,0
56,員山鄉,員山村,10002070-001,113Y,1128.0,5.0,0.4433,1132.0,33.0,2.9152,0.0114,17.7711,B 高優先,較高,0,0,0,0
57,南澳鄉,金洋村,10002120-006,113Y,71.0,13.0,18.3099,72.0,0.0,0.0,0.0,17.3364,B 高優先,較高,0,0,0,0
58,蘇澳鎮,南興里,10002030-021,113Y,420.0,13.0,3.0952,421.0,0.0,0.0,0.0,17.3364,B 高優先,較高,0,0,0,0
59,羅東鎮,仁德里,10002020-011,113Y,319.0,13.0,4.0752,319.0,0.0,0.0,0.0,17.3364,B 高優先,較高,0,0,0,0
60,羅東鎮,賢文里,10002020-019,113Y,903.0,13.0,1.4396,904.0,0.0,0.0,0.0,17.3364,B 高優先,較高,0,0,0,0
61,冬山鄉,南興村,10002080-008,113Y,593.0,3.0,0.5059,599.0,28.0,4.6745,0.0154,17.2247,C 中度,較高,0,0,0,0
62,五結鄉,成興村,10002090-014,113Y,640.0,5.0,0.7812,638.0,8.0,1.2539,0.0099,16.9952,C 中度,較高,0,0,0,0
63,蘇澳鎮,龍德里,10002030-001,113Y,719.0,3.0,0.4172,719.0,36.0,5.007,0.0145,16.7368,C 中度,較高,0,0,0,0
64,宜蘭市,西門里,10002010-032,113Y,460.0,11.0,2.3913,465.0,0.0,0.0,0.0,16.3238,C 中度,較高,0,0,0,0
65,羅東鎮,漢民里,10002020-016,113Y,881.0,11.0,1.2486,885.0,0.0,0.0,0.0,16.3238,C 中度,較高,0,0,0,0
66,羅東鎮,國華里,10002020-026,113Y,991.0,7.0,0.7064,992.0,3.0,0.3024,0.0046,16.1,C 中度,較高,0,0,0,0
67,五結鄉,利澤村,10002090-013,113Y,412.0,3.0,0.7282,415.0,10.0,2.4096,0.0132,16.0993,C 中度,較高,0,0,0,0
68,宜蘭市,新東里,10002010-042,113Y,545.0,9.0,1.6514,549.0,0.0,0.0,0.0,15.1261,C 中度,較高,0,0,0,0
69,冬山鄉,廣興村,10002080-021,113Y,639.0,4.0,0.626,638.0,7.0,1.0972,0.0083,14.9475,C 中度,較高,0,0,0,0
70,員山鄉,同樂村,10002070-012,113Y,522.0,3.0,0.5747,527.0,11.0,2.0873,0.011,14.8886,C 中度,較高,0,0,0,0
71,頭城鎮,竹安里,10002040-014,113Y,426.0,8.0,1.8779,428.0,0.0,0.0,0.0,14.434,C 中度,較高,0,0,0,0
72,五結鄉,四結村,10002090-006,113Y,667.0,8.0,1.1994,668.0,0.0,0.0,0.0,14.434,C 中度,較高,0,0,0,0
73,宜蘭市,思源里,10002010-038,113Y,771.0,8.0,1.0376,777.0,0.0,0.0,0.0,14.434,C 中度,較高,0,0,0,0
74,蘇澳鎮,長安里,10002030-014,113Y,146.0,8.0,5.4795,148.0,0.0,0.0,0.0,14.434,C 中度,較高,0,0,0,0
75,壯圍鄉,大福村,10002060-013,113Y,398.0,7.0,1.7588,402.0,0.0,0.0,0.0,13.6602,C 中度,較高,0,0,0,0
76,南澳鄉,南澳村,10002120-001,113Y,202.0,7.0,3.4653,201.0,0.0,0.0,0.0,13.6602,C 中度,較高,0,0,0,0
77,宜蘭市,新民里,10002010-018,113Y,469.0,7.0,1.4925,472.0,0.0,0.0,0.0,13.6602,C 中度,較高,0,0,0,0
78,羅東鎮,維揚里,10002020-027,113Y,694.0,7.0,1.0086,698.0,0.0,0.0,0.0,13.6602,C 中度,較高,0,0,0,0
79,蘇澳鎮,聖湖里,10002030-009,113Y,599.0,7.0,1.1686,601.0,0.0,0.0,0.0,13.6602,C 中度,較高,0,0,0,0
80,宜蘭市,泰山里,10002010-044,113Y,404.0,3.0,0.7426,406.0,4.0,0.9852,0.0086,13.622,C 中度,較高,0,0,0,0
81,羅東鎮,西安里,10002020-017,113Y,650.0,3.0,0.4615,654.0,8.0,1.2232,0.0075,13.0733,C 中度,較高,0,0,0,0
82,宜蘭市,負郭里,10002010-035,113Y,667.0,6.0,0.8996,671.0,0.0,0.0,0.0,12.783,C 中度,較高,0,0,0,0
83,宜蘭市,文化里,10002010-039,113Y,724.0,6.0,0.8287,734.0,0.0,0.0,0.0,12.783,C 中度,較高,0,0,0,0
84,羅東鎮,公正里,10002020-020,113Y,686.0,6.0,0.8746,690.0,0.0,0.0,0.0,12.783,C 中度,較高,0,0,0,0
85,羅東鎮,開明里,10002020-028,113Y,392.0,6.0,1.5306,395.0,0.0,0.0,0.0,12.783,C 中度,較高,0,0,0,0
86,頭城鎮,新建里,10002040-015,113Y,459.0,5.0,1.0893,461.0,0.0,0.0,0.0,11.7704,C 中度,較高,0,0,0,0
87,蘇澳鎮,南強里,10002030-025,113Y,199.0,5.0,2.5126,198.0,0.0,0.0,0.0,11.7704,C 中度,較高,0,0,0,0
88,宜蘭市,菜園里,10002010-022,113Y,318.0,5.0,1.5723,319.0,0.0,0.0,0.0,11.7704,C 中度,較高,0,0,0,0
89,羅東鎮,集祥里,10002020-021,113Y,301.0,5.0,1.6611,304.0,0.0,0.0,0.0,11.7704,C 中度,較高,0,0,0,0
90,羅東鎮,仁和里,10002020-030,113Y,301.0,5.0,1.6611,306.0,0.0,0.0,0.0,11.7704,C 中度,較高,0,0,0,0
91,蘇澳鎮,蘇東里,10002030-013,113Y,107.0,5.0,4.6729,109.0,0.0,0.0,0.0,11.7704,C 中度,較高,0,0,0,0
92,礁溪鄉,二龍村,10002050-007,113Y,281.0,4.0,1.4235,280.0,0.0,0.0,0.0,10.5727,C 中度,較高,0,0,0,0
93,三星鄉,月眉村,10002100-008,113Y,218.0,4.0,1.8349,219.0,0.0,0.0,0.0,10.5727,C 中度,較高,0,0,0,0
94,蘇澳鎮,南安里,10002030-018,113Y,281.0,4.0,1.4235,282.0,0.0,0.0,0.0,10.5727,C 中度,較高,0,0,0,0
95,蘇澳鎮,南正里,10002030-019,113Y,272.0,4.0,1.4706,275.0,0.0,0.0,0.0,10.5727,C 中度,較高,0,0,0,0
96,宜蘭市,神農里,10002010-001,113Y,647.0,4.0,0.6182,649.0,0.0,0.0,0.0,10.5727,C 中度,較高,0,0,0,0
97,羅東鎮,南豪里,10002020-009,113Y,360.0,4.0,1.1111,362.0,0.0,0.0,0.0,10.5727,C 中度,較高,0,0,0,0
98,蘇澳鎮,蘇西里,10002030-010,113Y,611.0,4.0,0.6547,613.0,0.0,0.0,0.0,10.5727,C 中度,較高,0,0,0,0
99,壯圍鄉,東港村,10002060-004,113Y,217.0,3.0,1.3825,217.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
100,壯圍鄉,過嶺村,10002060-006,113Y,342.0,3.0,0.8772,345.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
101,壯圍鄉,永鎮村,10002060-007,113Y,175.0,3.0,1.7143,177.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
102,冬山鄉,冬山村,10002080-009,113Y,193.0,3.0,1.5544,194.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
103,蘇澳鎮,南成里,10002030-020,113Y,314.0,3.0,0.9554,315.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
104,蘇澳鎮,南寧里,10002030-022,113Y,299.0,3.0,1.0033,302.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
