rank,town,village,village_id,data_period,elderly_econ_est,vulnerable_elderly_est,vulnerable_rate_pct,elderly_transit_est,bus_gap_elderly_est,bus_gap_rate_pct,joint_pressure_raw,priority_score,priority_band,data_quality,economic_suppressed_cells,vulnerable_suppressed_cells,transit_suppressed_cells,bus_gap_suppressed_cells
192,冬山鄉,中山村,10002080-014,113Y,130.0,0.0,0.0,129.0,32.0,24.8062,0.0,0.0,C 中度,較高,0,0,0,0
193,冬山鄉,鹿埔村,10002080-019,113Y,558.0,0.0,0.0,560.0,444.0,79.2857,0.0,0.0,C 中度,較高,0,0,0,0
194,冬山鄉,得安村,10002080-020,113Y,247.0,0.0,0.0,250.0,9.0,3.6,0.0,0.0,C 中度,較高,0,0,0,0
195,冬山鄉,廣安村,10002080-022,113Y,355.0,0.0,0.0,353.0,93.0,26.3456,0.0,0.0,C 中度,較高,0,0,0,0
196,冬山鄉,柯林村,10002080-023,113Y,372.0,0.0,0.0,375.0,260.0,69.3333,0.0,0.0,C 中度,較高,0,0,0,0
197,五結鄉,二結村,10002090-002,113Y,445.0,0.0,0.0,449.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
198,五結鄉,上四村,10002090-004,113Y,413.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
199,五結鄉,中興村,10002090-005,113Y,290.0,0.0,0.0,293.0,25.0,8.5324,0.0,0.0,C 中度,較高,0,0,0,0
200,五結鄉,福興村,10002090-007,113Y,427.0,0.0,0.0,430.0,21.0,4.8837,0.0,0.0,C 中度,較高,0,0,0,0
201,宜蘭市,民權里,10002010-002,113Y,403.0,0.0,0.0,409.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
202,宜蘭市,南橋里,10002010-009,113Y,283.0,0.0,0.0,282.0,30.0,10.6383,0.0,0.0,C 中度,較高,0,0,0,0
203,宜蘭市,建業里,10002010-010,113Y,411.0,0.0,0.0,409.0,17.0,4.1565,0.0,0.0,C 中度,較高,0,0,0,0
204,宜蘭市,南津里,10002010-011,113Y,454.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
205,宜蘭市,凱旋里,10002010-012,113Y,249.0,0.0,0.0,243.0,26.0,10.6996,0.0,0.0,C 中度,較高,0,0,0,0
206,宜蘭市,黎明里,10002010-013,113Y,366.0,0.0,0.0,363.0,200.0,55.0964,0.0,0.0,C 中度,較高,0,0,0,0
207,宜蘭市,東村里,10002010-014,113Y,390.0,0.0,0.0,390.0,18.0,4.6154,0.0,0.0,C 中度,較高,0,0,0,0
208,宜蘭市,延平里,10002010-015,113Y,507.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
209,宜蘭市,七張里,10002010-016,113Y,297.0,0.0,0.0,298.0,16.0,5.3691,0.0,0.0,C 中度,較高,0,0,0,0
210,宜蘭市,慈安里,10002010-017,113Y,273.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
211,宜蘭市,東門里,10002010-019,113Y,283.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
212,宜蘭市,孝廉里,10002010-023,113Y,288.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
213,宜蘭市,茭白里,10002010-025,113Y,389.0,0.0,0.0,391.0,12.0,3.0691,0.0,0.0,C 中度,較高,0,0,0,0
214,宜蘭市,梅洲里,10002010-027,113Y,610.0,0.0,0.0,612.0,115.0,18.7908,0.0,0.0,C 中度,較高,0,0,0,0
215,宜蘭市,北門里,10002010-028,113Y,258.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
216,宜蘭市,民族里,10002010-036,113Y,579.0,0.0,0.0,580.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
217,宜蘭市,建軍里,10002010-037,113Y,364.0,0.0,0.0,367.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
218,宜蘭市,復興里,10002010-040,113Y,711.0,0.0,0.0,714.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
219,宜蘭市,成功里,10002010-041,113Y,492.0,0.0,0.0,495.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
220,宜蘭市,七結里,10002010-043,113Y,514.0,0.0,0.0,516.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
221,宜蘭市,大新里,10002010-045,113Y,209.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
222,宜蘭市,擺厘里,10002010-047,113Y,682.0,0.0,0.0,690.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
223,羅東鎮,大新里,10002020-004,113Y,357.0,0.0,0.0,359.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
224,羅東鎮,新群里,10002020-006,113Y,535.0,0.0,0.0,537.0,482.0,89.7579,0.0,0.0,C 中度,較高,0,0,0,0
225,羅東鎮,成功里,10002020-010,113Y,370.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
226,羅東鎮,樹林里,10002020-025,113Y,800.0,0.0,0.0,803.0,4.0,0.4981,0.0,0.0,C 中度,較高,0,0,0,0
227,羅東鎮,中山里,10002020-029,113Y,429.0,0.0,0.0,434.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
228,蘇澳鎮,頂寮里,10002030-002,113Y,187.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
229,蘇澳鎮,永榮里,10002030-003,113Y,766.0,0.0,0.0,767.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
230,蘇澳鎮,隘丁里,10002030-007,113Y,600.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
231,蘇澳鎮,新城里,10002030-008,113Y,305.0,0.0,0.0,307.0,32.0,10.4235,0.0,0.0,C 中度,較高,0,0,0,0
232,蘇澳鎮,蘇北里,10002030-011,113Y,270.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
233,蘇澳鎮,蘇南里,10002030-012,113Y,131.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
