cluster_id,event_count,pair_count_50m,short_repeat_pair_count,min_short_gap_days,earliest_start,latest_start,road_names,event_types,units,event_ids,project_names,trigger_reason,audit_priority,longitude,latitude
RC-0001,5,4,0,,2026-07-20,2026-09-07,光榮、東宜二、東榮、羅榮,管線工程,中華電信宜蘭營運處、東山林開發事業股份有限公司,59818、59820、59822、59824、60488,宜蘭縣羅東地區污水下水道系統興建營運轉移｜宜蘭縣羅東地區污水下水道系統興建營運轉移｜宜蘭縣羅東地區污水下水道系統興建營運轉移｜宜蘭縣羅東地區污水下水道系統興建營運轉移｜羅東鎮光榮路271之1_林國漳競選總部,5件施工於50公尺範圍形成重複施工群聚,中,121.77822382408337,24.676183858156275
RC-0002,2,1,0,,2024-11-27,2024-11-27,三鬮、尚惠,管線工程,自來水公司第八區管理處北區服務所,52588、53034,自來水民生用戶管線新裝工程｜自來水民生用戶管線新裝工程,2件施工於50公尺範圍形成重複施工群聚,一般,121.71847446569448,24.731585863687904
